State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.40857	5.39865	5.38212	5.35347	5.34576	5.28515	5.22674	5.13638	5.05373	4.86419	4.63057	4.43551	4.17875	3.97378	3.74126	3.53960	3.40074	3.25087	3.13847	3.03599	2.98529
2	2.05857	2.07986	2.10031	2.11743	2.12286	2.14415	2.15333	2.16586	2.18464	2.23140	2.28776	2.31364	2.37334	2.40382	2.44223	2.45976	2.44557	2.45892	2.44264	2.43722	2.39630
3	0.57434	0.55685	0.52332	0.50728	0.51603	0.53206	0.52623	0.49854	0.49125	0.47959	0.47230	0.46501	0.46647	0.45481	0.44023	0.45335	0.47376	0.45918	0.47084	0.45335	0.45626
4	2.77868	2.72139	2.83025	2.95056	2.78441	2.72712	2.79587	2.84171	2.80733	2.76150	2.69848	2.60681	2.52087	2.18284	2.14847	2.13128	1.96513	2.05107	2.01097	1.99951	2.06253
5	5.25698	5.01247	5.00229	4.66608	4.89022	4.88003	4.79853	5.00229	4.80871	4.51326	4.30950	4.18725	3.71860	3.86123	3.64729	3.56578	3.76954	3.86123	3.83067	3.70842	3.68804
6	2.97827	2.91900	2.59302	2.57820	2.66711	2.56339	2.51894	2.56339	2.45967	2.53375	2.43003	2.34113	2.28186	2.38558	2.54857	2.66711	2.71156	2.48930	2.56339	2.53375	2.50412
7	1.60303	1.66659	1.74427	1.70896	1.56772	1.72308	1.63834	1.77958	1.76545	1.73014	1.58185	1.58185	1.51829	1.68777	1.68777	1.63128	1.72308	1.63834	1.80076	1.61715	1.79370
8	1.30820	1.37013	1.48624	1.22305	1.13016	1.18435	1.19983	1.46302	1.54817	1.58687	1.59461	1.71073	1.58687	1.55591	1.48624	1.58687	1.59461	1.67202	1.73395	1.72621	1.58687
9	1.33397	1.33397	1.26376	1.36517	1.38663	1.39638	1.43928	1.41588	1.42563	1.45098	1.48414	1.58165	1.64016	1.68111	1.76497	1.76497	1.82543	1.79033	1.85468	1.86444	1.90149
10	1.65881	1.57192	1.72990	1.81679	1.87209	1.94318	1.94318	2.05377	1.96688	1.93528	1.94318	2.02217	2.31444	2.64620	2.45662	2.42502	2.46452	2.26704	2.14856	2.22755	2.32234
11	2.07940	1.94462	1.83873	1.82910	1.85798	1.85798	2.05052	2.32970	2.30082	2.59925	2.73402	2.76290	2.59925	2.54149	2.77253	2.88805	2.90731	3.03246	2.97469	2.87843	2.87843
12	4.58879	4.63161	4.43892	4.23196	3.96791	3.96791	3.75381	3.36844	3.44694	3.14721	3.11866	2.92598	3.21144	3.24712	3.46122	3.40412	3.28280	3.36844	3.17575	3.40412	3.34703
13	3.46242	3.31663	3.53531	3.79044	4.00912	3.06151	3.20729	3.06151	2.29613	2.25968	2.40547	3.60820	3.53531	3.06151	2.87927	3.17085	2.91572	2.55126	3.13440	3.13440	2.84283
14	0.62729	0.62791	0.62844	0.62893	0.63007	0.62976	0.63034	0.63073	0.63488	0.63995	0.64555	0.64944	0.65367	0.65768	0.66143	0.66690	0.67237	0.67780	0.68181	0.68702	0.69244
15	1.67608	1.67608	1.68329	1.67608	1.68809	1.69049	1.72651	1.73612	1.69529	1.66648	1.62086	1.57763	1.56563	1.56323	1.56563	1.56082	1.56082	1.58964	1.62566	1.64007	1.61605
