State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.85974	0.79945	0.73623	0.69830	0.65842	0.62049	0.59521	0.57478	0.57089	0.56603	0.59229	0.62341	0.64189	0.65940	0.66718	0.68566	0.70608	0.74790	0.84127	0.96575	1.16805
2	0.90489	0.85736	0.79583	0.73136	0.66393	0.61272	0.56445	0.52061	0.48855	0.48192	0.46829	0.46976	0.47382	0.48745	0.50034	0.53645	0.58914	0.66835	0.76120	0.86289	0.96974
3	1.02534	0.83365	0.68056	0.59050	0.51846	0.47601	0.43484	0.42583	0.41168	0.40525	0.40268	0.40653	0.41811	0.42841	0.43226	0.44384	0.48758	0.69600	1.03563	1.49234	2.05840
4	6.98786	6.44684	5.76929	4.69734	3.37258	2.27030	1.68376	1.36521	1.27420	1.22363	1.20341	1.19835	1.25903	1.30959	1.81523	3.00347	6.68954	11.68520	15.93759	19.39107	20.82707
5	11.79668	14.03553	16.27438	17.60510	17.58712	15.13247	9.91748	5.88935	3.86629	3.18294	3.02110	3.38975	4.70249	10.59183	27.05503	47.95097	58.37197	57.32897	51.26879	42.40330	34.21216
6	4.09309	4.90386	7.32310	10.20003	14.93389	20.85776	28.19393	34.10472	34.41857	29.24009	19.83775	16.54236	17.35313	20.81853	23.23776	21.34160	14.72466	10.01695	6.87848	4.85155	4.11924
7	3.95757	5.13549	6.37574	8.78144	11.65458	14.24725	15.79912	13.39341	8.70665	9.14292	8.91232	5.67148	4.94852	5.38479	5.98933	6.79331	7.79049	6.47546	5.14173	4.17570	3.25331
8	2.93079	3.42267	3.54564	4.34494	4.48841	4.97345	5.08276	4.06484	2.63702	2.11099	2.01534	1.69425	1.73524	1.92653	1.99485	2.82831	3.11524	3.08791	2.99910	2.54821	2.21346
9	2.94839	3.00864	3.04306	2.89676	2.83996	2.59899	2.02928	1.44408	1.19967	1.13771	1.09468	1.08607	1.10500	1.18418	1.26335	1.28573	1.35802	1.56112	1.75561	1.85716	1.81069
10	2.48180	2.57243	2.71185	2.67700	2.92796	2.94191	2.78854	2.44694	1.52672	1.17119	1.11542	1.01085	1.06662	1.05964	1.09450	1.03873	1.06662	1.26181	1.30364	1.31061	1.40821
11	3.68733	4.05267	4.48597	5.37807	6.70347	8.06286	9.84705	12.10703	12.53184	8.46218	4.54545	4.33304	4.12064	3.55140	3.42395	3.11809	3.10110	2.76125	2.54035	2.51486	2.38742
12	5.07016	6.00231	7.40054	9.87579	14.07048	21.08052	31.26493	42.85387	53.52954	53.44766	45.15906	61.70478	67.13394	64.77837	51.61485	33.56382	20.50738	12.67225	8.25082	5.66850	4.13171
13	3.73124	4.50322	4.72838	5.88635	7.68763	9.90708	14.95711	23.12723	35.67190	79.25660	166.42600	107.36954	67.13008	36.95854	20.52180	12.54467	7.46247	5.17870	3.40958	3.08792	2.34811
14	0.77682	0.76114	0.74167	0.70964	0.66300	0.60761	0.54762	0.50052	0.47845	0.46848	0.46370	0.46300	0.47160	0.48129	0.49336	0.50768	0.52333	0.54245	0.55654	0.56798	0.57849
15	1.73142	1.76320	1.79287	1.80135	1.83738	1.79711	1.73142	1.68903	1.66360	1.65724	1.71446	1.73989	1.79287	1.78016	1.75049	1.72082	1.72718	1.72930	1.70810	1.68479	1.61486
