State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	3.17301	1.18190	5.75078	2.24556	4.62885	0.59231	0.76589	0.18717
2	8.37566	0.58949	2.26807	2.05954	2.28800	0.46830	0.67895	0.34091
3	2.39871	0.25893	0.61263	2.24689	0.47235	0.40269	0.67642	0.20683
4	0.61031	0.75293	2.43437	2.19735	2.69876	1.20345	4.89130	0.15272
5	0.34321	2.51586	3.69372	2.16986	4.30996	3.02119	18.24404	0.15314
6	0.23598	26.94778	3.76184	1.03292	2.43029	19.83837	16.23125	0.37372
7	0.49515	8.31598	1.96401	0.87507	1.58201	8.91260	7.68540	0.65084
8	0.45171	0.69982	1.18094	1.05329	1.58704	2.01540	3.08500	0.43492
9	1.79291	0.56882	1.09471	1.04102	1.48429	1.09471	1.88461	0.42800
10	0.44266	0.48069	1.41875	1.17236	1.94338	1.11545	1.79361	0.32616
11	0.36322	2.80860	1.76373	1.02381	2.73431	4.54559	5.21643	0.21908
12	0.48996	59.29873	8.38704	1.63012	3.11899	45.15415	25.52725	0.19622
13	0.09594	117.22042	15.08281	1.60492	2.40572	166.43113	25.68470	0.19734
14	79.27541	0.39992	0.56797	0.78354	0.64562	0.46371	0.61138	1.17404
15	1.45616	2.96570	1.59724	0.80425	1.62103	1.71451	1.70180	0.77152
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
