State (Emission order)	H3k27ac	H3k9ac	H3k4me3	H2afz	H3k4me2	H3k04me1	H3k79me2	H3k36me3	H3k09me3
1	0.004571570789271886	0.016140212218073532	0.0022830393923833213	0.001491493801786642	0.0014393895711020384	0.0083388889007931	0.0679027469503567	0.47167519645868855	0.010355766012303999
2	8.909718082810831E-4	0.00582688044524915	4.997983813859482E-4	6.199692842926661E-4	6.011720256334328E-4	0.0022122606063463925	0.03775378018622675	0.044366003041705925	0.001994164412473052
3	0.001608013810095841	0.006902270419742438	8.757151598104338E-4	6.071116257774632E-4	0.003189036731369312	0.022050579596722724	0.593345193379426	0.11365957880210112	0.006831464338550436
4	0.08792199611574113	0.058038511711664936	0.04812830974825486	0.00408227525049609	0.4349411730815856	0.46912479020698056	0.7524295337163904	0.286377468723399	0.010447098618421823
5	0.39852564257149725	0.5429773926504394	0.9106204649437315	0.026841385988005024	0.9979183838280772	0.5894233708065112	0.9159503705865083	0.1893900844617243	0.00797640608425838
6	0.1899634692369934	0.4441668565726598	0.9149809592678231	0.6172260673795665	0.964485662910867	0.47078131043753046	0.08178771013483821	0.024797016646118362	0.0456885584363796
7	0.015805294409006267	0.04753374751553752	0.05543707226943558	0.22583513093453453	0.3651416967628851	0.14744513885005806	0.02450786966277809	0.0015943341346801388	0.009216408140721994
8	0.19130570521317125	0.058870893671837676	0.10192462000573868	0.2566730188306648	0.7936065627257542	0.8701447687686754	0.027579291613642302	0.0032266411418584327	0.004961347199992452
9	0.01986174445356709	0.01986965488983073	0.002183794119069529	0.035550982000275545	0.02268797320588146	0.41985250114228456	0.021083362210149146	0.005691386625168414	0.005095772415414206
10	0.8601969781666278	0.17019731241022681	0.024546369237545728	0.1487467622306497	0.42300750795411995	0.7928173250189818	0.08358429392914941	0.056111918852412526	0.01695235186836494
11	0.987391607734628	0.7574060163070604	0.659758471430203	0.5982673006609315	0.9971048060030814	0.93379982512008	0.0855521061485989	0.016317004675368535	0.0066138584762695084
12	0.9897790533030079	0.9999999999999998	1.0	0.7743623159974172	0.9873486180523389	0.1545082917884841	0.4295664422534468	7.043848113746293E-4	0.006247014101235571
13	0.8369969963372564	0.8158170307545889	0.8110557938376419	0.30914297109323946	0.14813455468718903	9.314904843216141E-5	0.07006812739393546	1.2234870530355364E-4	0.0010726312366422515
14	1.0297058725644876E-4	0.0018237196098837751	1.6827005001562403E-4	0.0030970825363789913	6.2123750090878E-5	4.766227216868714E-4	0.003447697250685983	2.354098571259262E-4	0.0028097025916815825
15	0.003196237879893949	0.02869262225837008	0.00777436957453694	0.043425009298188315	0.0019294472197897788	0.00357294064185614	0.025155695664922498	0.004252243562783576	0.15408778082376745
