15	9	E	-6321384.69552185	200
probinit	1	0.0
probinit	2	2.974771819258306E-198
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	4.754773888848145E-250
probinit	8	0.0
probinit	9	8.240889643901256E-301
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	1.0
probinit	15	4.020017724170796E-207
transitionprobs	1	1	0.9573221535091577
transitionprobs	1	2	0.033387414327091705
transitionprobs	1	3	0.00237315749786978
transitionprobs	1	4	0.004390820238307953
transitionprobs	1	5	2.4335606670228722E-5
transitionprobs	1	6	5.502651886555815E-6
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	7.154233003829138E-4
transitionprobs	1	10	0.001217834265586039
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0
transitionprobs	1	13	0.0
transitionprobs	1	14	1.766596480367974E-4
transitionprobs	1	15	3.866989550103585E-4
transitionprobs	2	1	0.012614014900449196
transitionprobs	2	2	0.9677832562896461
transitionprobs	2	3	0.005582723528581138
transitionprobs	2	4	9.714336671273212E-4
transitionprobs	2	5	9.046961437685644E-5
transitionprobs	2	6	3.4874060325207215E-4
transitionprobs	2	7	0.0
transitionprobs	2	8	3.9811702399545484E-4
transitionprobs	2	9	0.009134628393846043
transitionprobs	2	10	7.359851937213869E-4
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	2	13	6.225921392183604E-5
transitionprobs	2	14	0.0019369707568887267
transitionprobs	2	15	3.4140081419393656E-4
transitionprobs	3	1	0.003332654744548429
transitionprobs	3	2	0.020329812984308734
transitionprobs	3	3	0.9453561168618672
transitionprobs	3	4	0.03069312205240656
transitionprobs	3	5	1.2414124464345322E-7
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	1.779073163295793E-4
transitionprobs	3	10	1.0484932172184868E-4
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	0.0
transitionprobs	3	15	5.412577573035752E-6
transitionprobs	4	1	0.023884331778052145
transitionprobs	4	2	0.011513141072819562
transitionprobs	4	3	0.11750901741503701
transitionprobs	4	4	0.7487554391106274
transitionprobs	4	5	0.07612995602005364
transitionprobs	4	6	0.0021358628356725044
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0010914439709486178
transitionprobs	4	9	0.00813153560456399
transitionprobs	4	10	0.010126302827450133
transitionprobs	4	11	4.781154946603514E-4
transitionprobs	4	12	1.1827494904353853E-4
transitionprobs	4	13	1.26578921071237E-4
transitionprobs	4	14	0.0
transitionprobs	4	15	0.0
transitionprobs	5	1	7.956587037935473E-5
transitionprobs	5	2	0.0020247965651607512
transitionprobs	5	3	0.0
transitionprobs	5	4	0.14233899289247262
transitionprobs	5	5	0.7482435262116074
transitionprobs	5	6	0.002716456768478366
transitionprobs	5	7	0.0
transitionprobs	5	8	8.311898065924392E-4
transitionprobs	5	9	1.6464223078486342E-7
transitionprobs	5	10	0.0014667350658406175
transitionprobs	5	11	0.0037977085217622644
transitionprobs	5	12	0.09721779961160507
transitionprobs	5	13	0.0012602656175889717
transitionprobs	5	14	2.2798426281319892E-5
transitionprobs	5	15	0.0
transitionprobs	6	1	2.930984815615132E-4
transitionprobs	6	2	0.013152470075540667
transitionprobs	6	3	0.0
transitionprobs	6	4	0.005725536572490693
transitionprobs	6	5	0.003560041766242851
transitionprobs	6	6	0.5220289924541601
transitionprobs	6	7	0.24015774387050964
transitionprobs	6	8	0.047389618111006754
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0
transitionprobs	6	11	0.0050408614221573765
transitionprobs	6	12	0.12117062551648884
transitionprobs	6	13	0.007350984243598444
transitionprobs	6	14	0.006052294970611075
transitionprobs	6	15	0.028077732515632055
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	0.0
transitionprobs	7	5	0.0
transitionprobs	7	6	0.08956172424208414
transitionprobs	7	7	0.49650918821820994
transitionprobs	7	8	0.013178658620634966
transitionprobs	7	9	0.020685628508919352
transitionprobs	7	10	1.271958101678813E-5
transitionprobs	7	11	0.004842603520417767
transitionprobs	7	12	0.011231883015027583
transitionprobs	7	13	0.007918804564039499
transitionprobs	7	14	0.34128713292024937
transitionprobs	7	15	0.014771656809400534
transitionprobs	8	1	0.0
transitionprobs	8	2	0.006198053592514567
transitionprobs	8	3	0.0
transitionprobs	8	4	0.002039136751560316
transitionprobs	8	5	0.0012142318464317388
transitionprobs	8	6	0.023108194656394798
transitionprobs	8	7	0.01660777093806984
transitionprobs	8	8	0.5730497320725746
transitionprobs	8	9	0.2916919412704387
transitionprobs	8	10	0.0010423763958739133
transitionprobs	8	11	0.06371878385383568
transitionprobs	8	12	0.0
transitionprobs	8	13	0.0
transitionprobs	8	14	0.021329778622305957
transitionprobs	8	15	0.0
transitionprobs	9	1	0.0010623796030184876
transitionprobs	9	2	0.03796234293433284
transitionprobs	9	3	1.6190367431471954E-4
transitionprobs	9	4	0.0027337723941797537
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0
transitionprobs	9	7	0.006607833587118675
transitionprobs	9	8	0.06614119629188998
transitionprobs	9	9	0.723515934137395
transitionprobs	9	10	0.03688837616171766
transitionprobs	9	11	0.0028801192566933467
transitionprobs	9	12	0.0
transitionprobs	9	13	0.0
transitionprobs	9	14	0.11668704737302188
transitionprobs	9	15	0.005359094586317734
